index,DateTime,Lat.,Long.,Fatalities,Magnitude,Month,Hour,Fatalities_bool
88,2001-04-12 10:47:00,24.768,99.061,2,5.6,4,10,True
89,2001-05-08 18:02:00,13.605,-88.795,1,5.7,5,18,True
90,2001-05-23 21:10:00,27.689,101.00299999999999,2,5.5,5,21,True
91,2001-06-01 14:00:00,35.169000000000004,69.389,4,5.0,6,14,True
92,2001-06-03 02:41:00,-29.666,-178.63299999999998,0,7.2,6,2,False
93,2001-06-21 19:55:00,49.147,6.87,1,4.2,6,19,True
94,2001-06-23 20:33:00,-16.265,-73.641,74,8.4,6,20,True
95,2001-07-07 09:38:00,-17.543,-72.077,1,7.6,7,9,True
96,2001-07-17 15:06:00,46.735,11.200999999999999,3,4.7,7,15,True
97,2001-07-24 05:00:00,-19.448,-69.255,1,6.4,7,5,True
98,2001-08-09 02:06:00,-14.258,-72.683,4,5.8,8,2,True
99,2001-08-21 06:52:00,-36.813,-179.575,0,7.1,8,6,False
100,2001-10-12 15:02:00,12.686,144.98,0,7.0,10,15,False
101,2001-10-19 03:28:00,-4.102,123.90700000000001,0,7.5,10,3,False
102,2001-10-27 05:35:00,26.316,100.648,1,5.6,10,5,True
103,2001-10-31 09:10:00,-5.912000000000001,150.196,0,7.0,10,9,False
104,2001-11-14 09:26:00,35.946,90.541,0,7.8,11,9,False
105,2001-12-04 05:57:00,-15.35,-72.516,2,5.8,12,5,True
106,2001-12-12 14:02:00,-42.813,124.68799999999999,0,7.1,12,14,False
107,2002-01-02 17:22:00,-17.6,167.856,0,7.2,1,17,False
108,2002-01-09 06:45:00,38.673,69.902,3,5.3,1,6,True
109,2002-01-10 11:14:00,-3.2119999999999997,142.42700000000002,1,6.7,1,11,True
110,2002-01-17 20:01:00,-1.6840000000000002,29.076999999999998,7,4.7,1,20,True
111,2002-01-21 14:34:00,38.664,27.881,1,4.6,1,14,True
112,2002-01-22 04:53:00,35.79,26.616999999999997,1,6.2,1,4,True
113,2002-02-03 07:11:00,38.573,31.271,44,6.5,2,7,True
114,2002-02-17 13:03:00,28.093000000000004,51.755,1,5.4,2,13,True
115,2002-03-03 12:08:00,36.501999999999995,70.482,166,7.4,3,12,True
116,2002-03-05 21:16:00,6.0329999999999995,124.249,15,7.5,3,21,True
117,2002-03-25 14:56:00,36.062,69.315,1000,6.1,3,14,True
118,2002-03-31 06:52:00,24.279,122.179,5,7.1,3,6,True
119,2002-04-01 06:14:00,-6.191,147.421,36,5.3,4,6,True
120,2002-04-12 04:00:00,35.959,69.417,50,5.9,4,4,True
121,2002-04-22 04:57:00,-12.386,-76.518,1,4.4,4,4,True
122,2002-04-24 10:51:00,42.43600000000001,21.465999999999998,1,5.7,4,10,True
123,2002-04-24 19:48:00,34.641999999999996,47.4,2,5.4,4,19,True
124,2002-04-25 17:41:00,41.765,44.96,5,4.8,4,17,True
125,2002-04-26 16:06:00,13.088,144.619,0,7.1,4,16,False
126,2002-05-15 03:46:00,24.636,121.92200000000001,1,6.2,5,3,True
127,2002-05-18 15:15:00,-2.907,33.733000000000004,2,5.5,5,15,True
128,2002-06-22 02:58:00,35.626,49.047,261,6.5,6,2,True
129,2002-06-28 17:19:00,43.751999999999995,130.666,0,7.3,6,17,False
130,2002-08-19 11:01:00,-21.695999999999998,-179.513,0,7.7,8,11,False
131,2002-08-19 11:08:00,-23.884,178.495,0,7.7,8,11,False
132,2002-09-06 01:21:00,38.381,13.700999999999999,2,6.0,9,1,True
133,2002-09-08 18:44:00,-3.302,142.945,4,7.6,9,18,True
134,2002-09-13 22:28:00,13.036,93.068,2,6.5,9,22,True
135,2002-10-10 10:50:00,-1.757,134.297,8,7.6,10,10,True
136,2002-10-24 06:08:00,-1.8840000000000001,29.004,2,6.2,10,6,True
137,2002-10-31 10:32:00,41.788999999999994,14.872,29,5.9,10,10,True
138,2002-11-01 22:09:00,35.516999999999996,74.654,11,5.4,11,22,True
139,2002-11-02 01:26:00,2.824,96.085,3,7.4,11,1,True
140,2002-11-03 22:12:00,63.516999999999996,-147.444,0,7.9,11,22,False
141,2002-11-17 04:53:00,47.824,146.209,0,7.3,11,4,False
142,2002-11-20 21:32:00,35.414,74.515,19,6.3,11,21,True
143,2002-12-14 13:27:00,39.736,97.443,2,5.6,12,13,True
144,2003-01-20 08:43:00,-10.491,160.77,0,7.3,1,8,False
145,2003-01-21 02:46:00,13.626,-90.774,1,6.5,1,2,True
146,2003-01-22 02:06:00,18.77,-104.104,29,7.6,1,2,True
147,2003-01-27 05:26:00,39.5,39.878,1,6.1,1,5,True
148,2003-02-24 02:03:00,39.61,77.23,261,6.3,2,2,True
149,2003-02-25 03:52:00,39.483000000000004,77.393,5,5.4,2,3,True
150,2003-03-17 16:36:00,51.272,177.97799999999998,0,7.1,3,16,False
151,2003-03-25 02:53:00,-8.294,120.743,4,6.5,3,2,True
152,2003-03-29 11:46:00,35.976,70.585,1,5.9,3,11,True
153,2003-05-01 00:27:00,39.007,40.464,177,6.4,5,0,True
154,2003-05-01 15:44:00,39.43,77.219,1,5.8,5,15,True
155,2003-05-21 18:44:00,36.964,3.634,2266,6.8,5,18,True
156,2003-05-26 09:24:00,38.849000000000004,141.56799999999998,0,7.0,5,9,False
157,2003-05-26 19:23:00,2.354,128.855,1,7.0,5,19,True
158,2003-05-27 17:11:00,36.939,3.5780000000000003,9,5.8,5,17,True
159,2003-06-20 06:19:00,-7.606,-71.722,0,7.1,6,6,False
160,2003-06-24 13:01:00,32.927,49.475,1,4.6,6,13,True
161,2003-07-10 17:06:00,28.355,54.169,1,5.8,7,17,True
162,2003-07-15 20:27:00,-2.5980000000000003,68.382,0,7.6,7,20,False
163,2003-07-21 15:16:00,25.975,101.29,16,6.0,7,15,True
164,2003-07-26 23:18:00,22.854,92.306,2,5.7,7,23,True
165,2003-08-04 04:37:00,-60.532,-43.411,0,7.6,8,4,False
166,2003-08-16 10:58:00,43.77,119.64299999999999,4,5.4,8,10,True
167,2003-08-21 12:12:00,-45.104,167.144,0,7.2,8,12,False
168,2003-09-22 04:45:00,19.777,-70.673,3,6.4,9,4,True
169,2003-09-25 19:50:00,41.815,143.91,0,8.3,9,19,False
170,2003-09-25 21:08:00,41.773999999999994,143.593,0,7.4,9,21,False
171,2003-09-27 11:33:00,50.038000000000004,87.81299999999999,3,7.3,9,11,True
172,2003-10-16 12:28:00,25.954,101.25399999999999,3,5.6,10,12,True
173,2003-10-25 12:41:00,38.4,100.95100000000001,9,5.8,10,12,True
174,2003-10-31 01:06:00,37.812,142.619,0,7.0,10,1,False
175,2003-11-13 02:35:00,34.711999999999996,103.834,1,5.1,11,2,True
176,2003-11-14 18:49:00,27.372,103.971,4,5.6,11,18,True
177,2003-11-17 06:43:00,51.146,178.65,0,7.8,11,6,False
178,2003-11-18 17:14:00,12.025,125.416,1,6.5,11,17,True
179,2003-12-01 01:38:00,42.905,80.515,11,6.0,12,1,True
180,2003-12-22 19:15:00,35.705999999999996,-121.102,2,6.6,12,19,True
181,2003-12-25 07:11:00,8.416,-82.824,2,6.5,12,7,True
182,2003-12-26 01:56:00,29.004,58.336999999999996,26271,6.6,12,1,True
183,2003-12-27 16:00:00,-22.033,169.65,0,7.3,12,16,False
184,2004-01-01 20:59:00,-8.31,115.788,1,5.8,1,20,True
185,2004-01-03 16:23:00,-22.253,169.683,0,7.1,1,16,False
186,2004-02-05 21:05:00,-3.615,135.53799999999998,37,7.0,2,21,True
187,2004-02-07 02:42:00,-4.003,135.023,37,7.3,2,2,True
188,2004-02-14 10:30:00,34.774,73.21600000000001,24,5.5,2,10,True
189,2004-02-16 14:44:00,-0.466,100.655,5,5.1,2,14,True
190,2004-02-24 02:14:00,-3.3930000000000002,29.558000000000003,3,4.7,2,2,True
